ticker,timestamp,open,high,low,close,vol,liq,rsi,macd,cci,adx,turbulence
ACB,20181009,7480.948201682,7515.7556837572,7449.2445715116,7480.948201682,0.154642352311315,138.1039641591787,48.73799535896941,-10.914079352284716,0.3970417071008549,29.78923031686456,0.0
BMI,20181009,12268.5966254514,12268.5966254514,12086.6470992265,12112.6398886871,0.3814101007710962,356.472541175343,56.96824387977297,287.0275835911689,0.2502502502686839,49.88255230306341,0.0
CDC,20181009,6840.9376834693,6840.9376834693,6634.8853436057,6634.8853436057,0.4960355499272961,188.39071073235,44.74982066351985,-6.410664667013407,-82.48299319731446,7.778494635837989,0.0
CHP,20181009,13222.2390289668,13222.2390289668,13164.246752524,13164.246752524,0.0519735729609904,109.77109469534284,45.887038834224825,-15.942664253781912,6.088280060858616,46.59070856447288,0.0
DP3,20181009,19857.7128430371,20034.0673401908,19871.94193975,19927.0645758998,0.3387492221947145,546.2366208415636,61.79816593031919,314.1496659130462,87.76020010814904,23.85166245651377,0.0
DSN,20181009,35868.2565751942,35868.2565751942,34730.5322430929,35808.3763471889,0.1972565244481844,658.6825080587124,72.42571138356904,743.4027326714277,65.77281191805865,70.41036926698554,0.0
EID,20181009,7549.8098215012,8328.283557632,7893.2239688004,7965.9410715053,0.1400764134132774,143.16634015827847,53.82845451621856,-25.20604807239306,166.76881494784573,13.306559669021956,0.0
FOX,20181009,11959.1565391568,11959.1565391568,11959.1565391568,11959.1565391568,0.164306733838137,131.8590119017568,63.291734981678,128.90813326834177,74.28800551862925,32.49298114996453,0.0
FPT,20181009,14358.1299970814,14405.9904304052,14262.4091304343,14262.4091304343,0.1635834399106953,193.72080154791416,45.92349571577069,95.53260218175456,-40.63751038595756,25.567010728262765,0.0
IDV,20181009,8734.1853824941,8792.602666055,8735.8761972419,8790.9008719907,0.2787232999044963,172.50535450991433,64.92953660261125,62.14313876338565,211.467081657824,13.100637039403308,0.0
MCH,20181009,37684.6587702335,37684.6587702335,37684.6587702335,37684.6587702335,0.0878223952079025,426.43166503154185,53.60458634611925,194.9899296943549,29.80284273267925,17.451589151680626,0.0
MPC,20181009,15754.633780113,16575.1876228272,15754.633780113,16259.4385041508,0.5218746793211626,886.0809281538071,66.27465530571683,971.3832085865706,54.385992215203466,39.92619414951893,0.0
NCT,20181009,43690.3981178503,43690.3981178503,43130.2648086472,43354.3181323284,0.2748237486873301,1020.2428131915486,59.157322715745465,322.3000368245266,82.46683399067885,13.43649095377338,0.0
NTC,20181009,32794.0273944794,33678.0769134578,32794.0273944794,33239.8409376214,0.2473436723256634,835.5170045690431,87.58602248471557,1327.9373247771257,143.20387484814256,72.60098585764551,0.0
PGC,20181009,8008.9502853545,8117.1793432648,7738.377640579,8036.0075498321,0.26481893103093,222.25610106564983,58.486925935808046,119.34339965155688,37.62685402029931,20.59619795206141,0.0
PHR,20181009,18656.1152413673,18850.4497751316,18461.7807076031,18461.7807076031,0.3083129370186935,534.4199678516854,67.22529426657934,465.4852474983127,174.01789187086746,32.885007895518754,0.0
QNS,20181009,19705.7789605222,20641.803461147,19607.2500657194,20383.1651122899,0.1875906453985372,427.756159007336,68.94355698146317,238.30872115834427,158.12713606496604,20.718513661080205,0.0
RAL,20181009,55633.6633901393,56190.0000240406,55633.6633901393,56190.0000240406,0.434973423470349,1943.204385555593,60.6889933232895,1498.2349826418213,35.02858712206292,33.33606525731205,0.0
SBA,20181009,9070.8651095395,9131.3375436032,8859.2115903168,8859.2115903168,0.225407107038991,142.54216600703617,52.02186590857118,36.67231831841673,165.1917404129235,55.79958197381076,0.0
SHP,20181009,12223.0097348394,12778.6010864229,12223.0097348394,12778.6010864229,0.3073582988767184,220.2522858063499,63.15317112020495,-33.66335326633816,54.6497584541046,25.41847668660136,0.0
SNZ,20181009,9508.881506025,9508.881506025,9508.881506025,9508.881506025,0.5530453046122078,39.95328363875719,46.98808740127623,-36.247749375474086,-30.3030303030221,4.668599117417022,0.0
TCL,20181009,7944.6726872423,7944.6726872423,7944.6726872423,7944.6726872423,0.2915505629371792,236.0791409574572,61.267204134392586,100.86568696603354,88.78570423528338,40.950531117633936,0.0
TCM,20181009,13337.860581788,13471.9094318561,13248.4946817424,13315.5191067766,0.42349925672196,483.5333520318142,65.69308863965708,652.1282962927489,67.20949103220195,58.25675404599662,0.0
TLG,20181009,41781.8390152702,43017.639887553,41252.2100700062,43017.639887553,0.1319344928848197,1126.5123597678228,34.70131905405577,-314.2537363693773,-200.3902604564292,38.0205252977312,0.0
VCS,20181009,54137.7058817037,55880.5190238518,53602.416329834,55134.1053764591,0.4863336062849209,2867.0406347871653,31.89301176617729,-665.7121372692345,-188.15366942472195,42.32698891738683,0.0
VIC,20181009,85867.74,86489.97,85423.29,85867.74,0.2013875336548325,1460.3357142857171,36.12036945753923,-744.1076861016772,-171.58308751229134,22.19973026058546,0.0
VJC,20181009,139773.3,142053.29,139773.3,141755.9,0.1837033804122601,2471.169285714281,35.60437515995743,-2253.308679683163,-136.32232656770668,41.74285084089677,0.0
VLB,20181009,20604.8125388068,20604.8125388068,20604.8125388068,20604.8125388068,1.0530677849477497,931.8384542764352,53.77399818164383,739.4210722504831,1.5657525331244588,40.44604575158152,0.0
VPI,20181009,21950.9139878764,22106.9631394489,21950.9139878764,22002.930371734,0.1021412831600579,250.79327931305,46.63999813537777,27.6391862864366,-53.39105339104987,15.126285597504635,0.0
VSH,20181009,13189.5062000967,13189.5062000967,13152.1421598698,13152.1421598698,0.0783333160630628,146.7873008914287,59.1704722287504,61.85498554557125,61.43790849670145,53.228109727860456,0.0
ACB,20181010,7480.9482016819,7508.1393676687,7419.547752711,7458.7495423298,0.1546203971024717,134.90600339285734,47.209009836634586,-12.280426745898694,-35.16755452050225,29.52505831945305,0.0
BMI,20181010,12112.6398886871,12164.6254676084,11852.7119940801,11852.7119940801,0.3873027720163793,354.6159133567145,50.29300655080036,242.2577365841153,-84.07148407149204,47.77225844175329,0.0
CDC,20181010,7046.9900233328,7046.9900233328,7046.9900233328,7046.9900233328,0.5132236131486151,214.88315442909288,55.765249745446,13.604697021163702,125.93516209476098,8.695375285230098,0.0
CHP,20181010,13106.2544760812,13106.2544760812,13106.2544760812,13106.2544760812,0.0519735729609904,101.4864837749358,41.27479581584104,-21.41484813415445,-118.05555555554696,47.06633351163181,0.0
DP3,20181010,19441.6024458605,20026.5412430512,19584.094401635,19857.7128430371,0.3383483523772529,534.5107224006066,60.315153024270735,312.5155538504514,67.00360556322524,23.723472131613267,0.0
DSN,20181010,35808.3763471889,35808.3763471889,35029.9333831197,35329.3345231462,0.205836028498025,675.7911446316555,62.29257919426324,693.0409731301988,54.29078415826511,67.40744628717547,0.0
EID,20181010,7965.9410715053,7965.9410715053,7965.9410715053,7965.9410715053,0.1400764134132774,102.96409398623564,53.82845451621856,-18.11209474553925,68.63113268907406,14.120945037439908,0.0
FOX,20181010,11959.1565391568,11959.1565391568,11959.1565391568,11959.1565391568,0.164306733838137,130.2469898808926,63.291734981678,125.60523016555452,66.89512191812803,33.577013755342094,0.0
FPT,20181010,14262.4091304343,14485.7578192778,14262.4091304343,14453.8508637285,0.1677823065097189,183.4649944071498,52.73646492798351,86.95019230702019,-27.629233511592275,24.053484580256075,0.0
IDV,20181010,8790.9008719907,8790.9008719907,8790.9008719907,8790.9008719907,0.2750898581715998,154.68561436514287,64.92953660261124,82.02604320903811,175.3543507799283,13.546087244814952,0.0
